path;author;sex;birthday;header;created;sphere;genre_fi;type;topic;chronotop;style;audience_age;audience_level;audience_size;source;publication;publisher;publ_year;medium;subcorpus;tagging;comments;editor_id
issue_2255;;;;Как спасаются зайцы?;2003;учебно-научная|нехудожественная;;статья;наука и технологии|биология;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/ «Знание - сила», 2003, № 7;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;;2
issue_2251;;;;Кто кого;2003;учебно-научная|нехудожественная;;статья;наука и технологии|природа;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/ «Знание - сила», 2003, № 7;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;;2
518198;;;;Денежные переводы мигрантов -- фактор инновационного развития мировой финансовой инфраструктуры;2004;учебно-научная|нехудожественная;;статья;наука и технологии|бизнес, коммерция, экономика, финансы;;специальный;н-возраст;н-уровень;средняя;Вопросы статистики,2004,N008;«Вопросы статистики»;;2004;журнал;ПК письменных текстов;manual;;2
422758;;;;Темы и заголовки;2002;публицистика|нехудожественная;;заметка;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;средняя;«Финансовая Россия», 2002.09.19;«Финансовая Россия»;;2002.09.19;газета;ПК письменных текстов;manual;;1
00064301;;;;Мужское хозяйство: Запилить!;2002;публицистика|нехудожественная;;заметка;техника;;нейтральный;н-возраст;н-уровень;большая;«Автопилот», 15.06.2002;«Автопилот»;;2002.06.15;журнал;ПК письменных текстов;manual;;1
518580;;;;Перспективы создания генераторов нейтронов для ядерно-геофизических исследований;2002;учебно-научная|нехудожественная;;статья;наука и технологии|геология|физика;;специальный;н-возраст;н-уровень;большая;Геоинформатика, 2002;«Геоинформатика»;;2002;журнал;ПК письменных текстов;manual;;2
06277726;;;;Дорогая моя столица;1997;публицистика|нехудожественная;;заметка;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Столица», 06.01.1997;«Столица»;;1997.01.06;журнал;ПК письменных текстов;manual;;1
06860638;;;;Новости СБСАГРО;1997;публицистика|нехудожественная;;заметка;бизнес, коммерция, экономика, финансы;;нейтральный;н-возраст;н-уровень;большая;«Столица», 27.05.1997;«Столица»;;1997.05.27;журнал;ПК письменных текстов;manual;;1
issue_2034;;;;Виртуальная земля;2003;публицистика|нехудожественная;;заметка;наука и технологии|информатика;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;;2
1392;Светлана Бабаева;жен;;Еще не друзья, уже не миссионеры. Российско-американский саммит прошел лучше, чем ожидалось;2001;публицистика|нехудожественная;;статья;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Известия», 18.06.2001;«Известия»;;2001.06.18;газета;ПК письменных текстов;manual;;1
issue_2100;;;;Если уж ездить, то с полным комфортом;2003;публицистика|нехудожественная;;заметка;наука и технологии;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;;2
